Wr60,PP50,P15,P50
LOC112053375,LOC112056775,LOC112056170,LOC112058164
LOC112053401,LOC112056791,LOC112056173,LOC112058219
LOC112053443,LOC112056823,LOC112056176,LOC112058257
LOC112053444,LOC112056839,LOC112056309,LOC112058262
LOC112053451,LOC112056840,LOC112056355,LOC112058321
LOC112053485,LOC112056845,LOC112056365,LOC112058337
LOC112053498,LOC112056852,LOC112056419,LOC112058361
LOC112053562,LOC112057117,LOC112056438,LOC112058366
LOC112053596,LOC112057145,LOC112056453,LOC112058371
LOC112053610,LOC112057188,LOC112056501,LOC112058378
